Name	Values	Coverage	Question	Example	Type	Source	SortIndex	IsComputed	IsRequired	IsConceptDelimiter	Crux
id	16	200%	What is the ID of this concept?	Mars	string		1	false	true	true	
id	16	200%	What is the ID of this concept?	Mars	string		1	false	true	true	
id	16	200%	What is the ID of this concept?	Mars	string		1	false	true	true	
moons	16	200%	How many moons does the planet have?	2	number		1.1	false	true		
diameter	16	200%	What is the diameter of the planet?	6794	number		1.9	false			
surfaceGravity	16	200%	What is the surface gravity of the planet?	4	number		1.9	false			
yearsToOrbitSun	16	200%	How many Earth years does it take for the planet to orbit the Sun?	1.881	number		1.9	false			
hasLife	16	200%	Does this planet have life?	false	boolean		1.9	false			
wikipedia	2	25%	URL to the Wikipedia page.	https://en.wikipedia.org/wiki/Earth	string		1.9	false			
aka	2	25%	What are the alternative names for the planet?	Pale Blue Dot	string		1.9	false			
age	2	25%	How old is this planet?	4500000000	number		1.9	false			